Hospital Name,City,Hospital Type,Hospital Ownership,Emergency Services,Hospital overall rating,Mortality national comparison,Safety of care national comparison,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Efficient use of medical imaging national comparison
UNIVERSITY OF M D UPPER CHESAPEAKE MEDICAL CENTER,BEL AIR,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
DOCTORS'  COMMUNITY HOSPITAL,LANHAM,Acute Care Hospitals,Proprietary,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
LAUREL REGIONAL MEDICAL CENTER,LAUREL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
MEDSTAR GOOD SAMARITAN HOSPITAL,BALTIMORE,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
ADVENTIST HEALTHCARE SHADY GROVE MEDICAL CENTER,ROCKVILLE,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
UNIV OF MD REHABILITATION &  ORTHOPAEDIC INSTITUTE,BALTIMORE,Acute Care Hospitals,Voluntary non-profit - Private,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
FORT WASHINGTON HOSPITAL,FORT WASHINGTON,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
ATLANTIC GENERAL HOSPITAL,BERLIN,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
MEDSTAR SOUTHERN MARYLAND HOSPITAL CENTER,CLINTON,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
UNIVERSITY OF MARYLAND ST JOSEPH MEDICAL CENTER,TOWSON,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
LEVINDALE HEBREW GERIATRIC CENTER AND HOSPITAL,BALTIMORE,Acute Care Hospitals,Voluntary non-profit - Private,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
HOLY CROSS GERMANTOWN HOSPITAL,GERMANTOWN,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
MOUNT WASHINGTON PEDIATRIC HOSPITAL,BALTIMORE,Childrens,Voluntary non-profit - Private,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
KENNEDY KRIEGER INSTITUTE,BALTIMORE,Childrens,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"HEALTHALLIANCE HOSPITALS, INC",LEOMINSTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
MOUNT AUBURN HOSPITAL,CAMBRIDGE,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Above the national average,Same as the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
STURDY MEMORIAL HOSPITAL,ATTLEBORO,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3,Same as the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average
LAWRENCE GENERAL HOSPITAL,LAWRENCE,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Above the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
CAMBRIDGE HEALTH ALLIANCE,CAMBRIDGE,Acute Care Hospitals,Government - Local,Yes,3,Above the national average,Same as the national average,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average
CAPE COD HOSPITAL,HYANNIS,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Below the national average,Above the national average
"COOLEY DICKINSON HOSPITAL INC,THE",NORTHAMPTON,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
BAYSTATE FRANKLIN MEDICAL CENTER,GREENFIELD,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
CARNEY HOSPITAL,BOSTON,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Same as the national average,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average
HARRINGTON MEMORIAL HOSPITAL-1,SOUTHBRIDGE,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
SAINT ANNE'S HOSPITAL,FALL RIVER,Acute Care Hospitals,Proprietary,Yes,4,Above the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
HOLYOKE MEDICAL CENTER,HOLYOKE,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
ANNA JAQUES HOSPITAL,NEWBURYPORT,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Above the national average
BAYSTATE WING HOSPITAL AND MEDICAL CENTERS,PALMER,Acute Care Hospitals,Voluntary non-profit - Other,Yes,4,Above the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
BOSTON MEDICAL CENTER CORPORATION-,BOSTON,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Above the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
BEVERLY HOSPITAL CORPORATION,BEVERLY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Above the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Above the national average
NORTH SHORE MEDICAL CENTER -,SALEM,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
ST ELIZABETH'S MEDICAL CENTER,BRIGHTON,Acute Care Hospitals,Proprietary,Yes,3,Above the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
BERKSHIRE MEDICAL CENTER INC - 1,PITTSFIELD,Acute Care Hospitals,Voluntary non-profit - Other,Yes,4,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
MARLBOROUGH HOSPITAL,MARLBOROUGH,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
BAYSTATE MARY LANE HOSPITAL,WARE,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Not Available
SIGNATURE HEALTHCARE BROCKTON HOSPITAL,BROCKTON,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3,Above the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
CLINTON HOSPITAL ASSOCIATION,CLINTON,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Below the national average,Same as the national average,Not Available
BETH ISRAEL DEACONESS HOSPITAL - PLYMOUTH,PLYMOUTH,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
ADCARE HOSPITAL OF WORCESTER INC,WORCESTER,Acute Care Hospitals,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
LOWELL GENERAL HOSPITAL,LOWELL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Above the national average
NOBLE HOSPITAL,WESTFIELD,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
MERCY MEDICAL CTR,SPRINGFIELD,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
HALLMARK HEALTH SYSTEM,MELROSE,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Above the national average
MASSACHUSETTS GENERAL HOSPITAL,BOSTON,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Above the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Above the national average
MORTON HOSPITAL,TAUNTON,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
"SOUTHCOAST HOSPITAL GROUP, INC",FALL RIVER,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average
MASSACHUSETTS EYE AND EAR INFIRMARY,BOSTON,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Above the national average,Same as the national average,Same as the national average,Not Available
BAYSTATE MEDICAL CENTER,SPRINGFIELD,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Above the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Above the national average
HOLY FAMILY HOSPITAL,METHUEN,Acute Care Hospitals,Proprietary,Yes,3,Above the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM,NEEDHAM,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
EMERSON HOSPITAL -,W CONCORD,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Above the national average
BETH ISRAEL DEACONESS MEDICAL CENTER,BOSTON,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Above the national average,Above the national average,Below the national average,Same as the national average,Above the national average,Below the national average,Below the national average
NEW ENGLAND BAPTIST HOSPITAL,BOSTON,Acute Care Hospitals,Voluntary non-profit - Private,No,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Not Available,Same as the national average
MILFORD REGIONAL MEDICAL CENTER,MILFORD,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3,Above the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Above the national average
HEYWOOD HOSPITAL,GARDNER,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
NASHOBA VALLEY MEDICAL CENTER,AYER,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
SOUTH SHORE HOSPITAL,SOUTH WEYMOUTH,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Above the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Above the national average
NEWTON-WELLESLEY HOSPITAL,NEWTON,Acute Care Hospitals,Voluntary non-profit - Other,Yes,4,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
WINCHESTER HOSPITAL,WINCHESTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Below the national average,Above the national average
BETH ISRAEL DEACONESS HOSPITAL-MILTON INC,MILTON,Acute Care Hospitals,Government - Federal,Yes,4,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
BRIGHAM AND WOMEN'S HOSPITAL,BOSTON,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Above the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Above the national average
GOOD SAMARITAN MEDICAL CENTER,BROCKTON,Acute Care Hospitals,Proprietary,Yes,3,Above the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
TUFTS MEDICAL CENTER,BOSTON,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Above the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
BRIGHAM AND WOMEN'S FAULKNER HOSPITAL,BOSTON,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Above the national average,Same as the national average,Below the national average,Above the national average,Above the national average,Below the national average,Same as the national average
NORWOOD HOSPITAL,NORWOOD,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
FALMOUTH HOSPITAL,FALMOUTH,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
UMASS MEMORIAL MEDICAL CENTER INC,WORCESTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,Above the national average,Below the national average,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average
"LAHEY HOSPITAL & MEDICAL CENTER, BURLINGTON",BURLINGTON,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Below the national average,Same as the national average
METROWEST MEDICAL CENTER,FRAMINGHAM,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Above the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
ST VINCENT HOSPITAL,WORCESTER,Acute Care Hospitals,Proprietary,Yes,3,Above the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
NANTUCKET COTTAGE HOSPITAL,NANTUCKET,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Same as the national average,Not Available
MARTHA'S VINEYARD HOSPITAL INC,OAK BLUFFS,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available,Not Available,Not Available
FAIRVIEW HOSPITAL,GREAT BARRINGTON,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
ATHOL MEMORIAL HOSPITAL,ATHOL,Critical Access Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,Same as the national average,Not Available
FRANCISCAN CHILDREN'S HOSPITAL & REHAB CENTER,BRIGHTON,Childrens,Voluntary non-profit - Private,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
BOSTON CHILDREN'S HOSPITAL,BOSTON,Childrens,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
SHRINERS' HOSPITAL FOR CHILDREN (THE),SPRINGFIELD,Childrens,Voluntary non-profit - Private,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"SHRINERS' HOSPITAL FOR CHILDREN - BOSTON, THE",BOSTON,Childrens,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
ST MARY MERCY HOSPITAL,LIVONIA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Above the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
SPECTRUM HEALTH ZEELAND COMMUNITY HOSPITAL,ZEELAND,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
PROMEDICA BIXBY HOSPITAL,ADRIAN,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
PONTIAC GENERAL HOSPITAL,PONTIAC,Acute Care Hospitals,Proprietary,No,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available
THREE RIVERS HEALTH,THREE RIVERS,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average
BRONSON METHODIST HOSPITAL,KALAMAZOO,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Below the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average
PROVIDENCE - PROVIDENCE PARK HOSPITAL,SOUTHFIELD,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4,Above the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
BEAUMONT HOSPITAL - DEARBORN,DEARBORN,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
"LAKELAND HOSPITAL, ST JOSEPH",ST JOSEPH,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Below the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
COMMUNITY HEALTH CENTER OF BRANCH COUNTY,COLDWATER,Acute Care Hospitals,Government - Local,Yes,4,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
SINAI-GRACE HOSPITAL,DETROIT,Acute Care Hospitals,Proprietary,Yes,1,Above the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
ST JOSEPH MERCY OAKLAND,PONTIAC,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Above the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Above the national average
MIDMICHIGAN MEDICAL CENTER-GRATIOT,ALMA,Acute Care Hospitals,Voluntary non-profit - Private,No,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
LAKE HURON MEDICAL CENTER,PORT HURON,Acute Care Hospitals,Voluntary non-profit - Church,No,3,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
SPECTRUM HEALTH UNITED HOSPITAL,GREENVILLE,Acute Care Hospitals,Voluntary non-profit - Other,Yes,5,Same as the national average,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average
MIDMICHIGAN MEDICAL CENTER - ALPENA,ALPENA,Acute Care Hospitals,Proprietary,Yes,4,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Below the national average
HILLSDALE HOSPITAL,HILLSDALE,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
SPECTRUM HEALTH - BUTTERWORTH CAMPUS,GRAND RAPIDS,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average
SPECTRUM HEALTH PENNOCK,HASTINGS,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3,Same as the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
MCLAREN BAY REGION,BAY CITY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
UNIVERSITY OF MICHIGAN HEALTH SYSTEM,ANN ARBOR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Above the national average,Above the national average,Below the national average,Above the national average,Above the national average,Below the national average,Above the national average
HENRY FORD MACOMB HOSPITAL,CLINTON TOWNSHIP,Acute Care Hospitals,Proprietary,Yes,2,Above the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
HENRY FORD HOSPITAL,DETROIT,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,Above the national average,Below the national average,Below the national average,Below the national average,Above the national average,Below the national average,Above the national average
UP HEALTH SYSTEM - MARQUETTE,MARQUETTE,Acute Care Hospitals,Government - Local,Yes,3,Below the national average,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average
DICKINSON COUNTY MEMORIAL HOSPITAL,IRON MOUNTAIN,Acute Care Hospitals,Government - Local,Yes,4,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
MUNSON HEALTHCARE GRAYLING HOSPITAL,GRAYLING,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Above the national average
SAINT MARY'S HEALTH CARE,GRAND RAPIDS,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average
MERCY HEALTH MUSKEGON,MUSKEGON,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
SAINT JOSEPH MERCY LIVINGSTON HOSPITAL,HOWELL,Acute Care Hospitals,Voluntary non-profit - Other,Yes,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
COVENANT MEDICAL CENTER,SAGINAW,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average
STRAITH HOSPITAL FOR SPECIAL SURGERY,SOUTHFIELD,Acute Care Hospitals,Voluntary non-profit - Private,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
HOLLAND COMMUNITY HOSPITAL,HOLLAND,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Same as the national average,Same as the national average,Above the national average,Above the national average,Above the national average,Above the national average,Same as the national average
BRONSON BATTLE CREEK HOSPITAL,BATTLE CREEK,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average
ST MARY'S OF MICHIGAN MEDICAL CENTER,SAGINAW,Acute Care Hospitals,Voluntary non-profit - Church,Yes,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Below the national average
LAKELAND HOSPITAL WATERVLIET,WATERVLIET,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average,Above the national average,Not Available
MCLAREN CENTRAL MICHIGAN,MOUNT PLEASANT,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
MUNSON HEALTHCARE CADILLAC HOSPITAL,CADILLAC,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average
BRONSON SOUTH HAVEN HOSPITAL,SOUTH HAVEN,Acute Care Hospitals,Government - Hospital District or Authority,Yes,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
"BEAUMONT HOSPITAL, GROSSE POINTE",GROSSE POINTE,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Above the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
HENRY FORD ALLEGIANCE HEALTH,JACKSON,Acute Care Hospitals,Voluntary non-profit - Other,Yes,4,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
SPECTRUM HEALTH BIG RAPIDS HOSPITAL,BIG RAPIDS,Acute Care Hospitals,Government - Local,Yes,3,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
WEST BRANCH REGIONAL MEDICAL CENTER,WEST BRANCH,Acute Care Hospitals,Government - Local,Yes,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average
STURGIS HOSPITAL,STURGIS,Acute Care Hospitals,Government - Local,Yes,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
MUNSON MEDICAL CENTER,TRAVERSE CITY,Acute Care Hospitals,Voluntary non-profit - Other,Yes,4,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Above the national average
PROMEDICA MONROE REGIONAL HOSPITAL,MONROE,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3,Above the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
TAWAS ST JOSEPH HOSPITAL,TAWAS CITY,Acute Care Hospitals,Government - Hospital District or Authority,Yes,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Above the national average,Above the national average,Below the national average
HARPER UNIVERSITY HOSPITAL,DETROIT,Acute Care Hospitals,Proprietary,Yes,2,Above the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Below the national average
MCLAREN - NORTHERN MICHIGAN,PETOSKEY,Acute Care Hospitals,Voluntary non-profit - Other,No,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average
UP HEALTH SYSTEM PORTAGE,HANCOCK,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
SPECTRUM HEALTH LUDINGTON HOSPITAL,LUDINGTON,Acute Care Hospitals,Voluntary non-profit - Other,Yes,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
BORGESS MEDICAL CENTER,KALAMAZOO,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3,Below the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
HURON MEDICAL CENTER,BAD AXE,Acute Care Hospitals,Voluntary non-profit - Other,Yes,4,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Below the national average
MEMORIAL HEALTHCARE,OWOSSO,Acute Care Hospitals,Voluntary non-profit - Other,No,2,Below the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
"BEAUMONT HOSPITAL, ROYAL OAK",ROYAL OAK,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Above the national average,Below the national average,Below the national average,Below the national average,Above the national average,Below the national average,Above the national average
HURLEY MEDICAL CENTER,FLINT,Acute Care Hospitals,Voluntary non-profit - Other,Yes,1,Same as the national average,Below the national average,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average
OTSEGO MEMORIAL HOSPITAL,GAYLORD,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
MCLAREN FLINT,FLINT,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Above the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Below the national average
